player_id,name,role,dimension,top_drivers
20941,A. Ljaji\u0107,Forward,recovery,interception x2 (+6.0); def_duel_won x2 (+4.0); def_duel_lost x5 (-2.5)
20941,A. Ljaji\u0107,Forward,retention,lost_ball x14 (-14.0); accurate_pass x59 (+5.9); att_duel_lost x2 (-1.0)
20941,A. Ljaji\u0107,Forward,transition,counter_action x2 (+4.0)
120839,A. Ma\u00e2loul,Defender,chance_creation,pass_into_box x4 (+6.0); key_pass x1 (+4.0); accurate_cross x3 (+3.0)
120839,A. Ma\u00e2loul,Defender,defensive_disruption,clearance x3 (+4.5)
120839,A. Ma\u00e2loul,Defender,goal_protection,own_box_clearance x2 (+2.0)
120839,A. Ma\u00e2loul,Defender,progression,final_third_entry x9 (+27.0); pass_into_box x4 (+16.0); forward_pass_small x48 (+7.2)
120839,A. Ma\u00e2loul,Defender,recovery,interception x9 (+27.0); def_duel_won x2 (+4.0); def_duel_lost x4 (-2.0)
120839,A. Ma\u00e2loul,Defender,retention,lost_ball x12 (-12.0); dangerous_lost x3 (-9.0); accurate_pass x84 (+8.4)
125848,A. Machado,Defender,defensive_disruption,clearance x2 (+3.0)
125848,A. Machado,Defender,goal_protection,own_box_clearance x1 (+1.0)
125848,A. Machado,Defender,progression,final_third_entry x3 (+9.0); forward_pass_small x13 (+1.9); failed_progressive x3 (-1.2)
125848,A. Machado,Defender,recovery,interception x3 (+9.0); loose_ball_won x2 (+2.0); def_duel_won x1 (+2.0)
125848,A. Machado,Defender,retention,lost_ball x8 (-8.0); accurate_pass x19 (+1.9)
120898,A. Mathlouthi,Goalkeeper,goal_protection,save x4 (+16.0); reflex_save x1 (+5.0)
120898,A. Mathlouthi,Goalkeeper,progression,forward_pass_small x17 (+2.5); failed_progressive x1 (-0.4)
120898,A. Mathlouthi,Goalkeeper,recovery,interception x1 (+3.0)
120898,A. Mathlouthi,Goalkeeper,retention,lost_ball x2 (-2.0); accurate_pass x19 (+1.9)
120898,A. Mathlouthi,Goalkeeper,transition,keeper_launch x2 (+3.0)
99452,A. Milik,Forward,chance_creation,accurate_cross x1 (+1.0)
99452,A. Milik,Forward,finishing,shot_off_target x1 (-0.3)
99452,A. Milik,Forward,progression,forward_pass_small x3 (+0.4)
99452,A. Milik,Forward,recovery,interception x1 (+3.0); def_duel_lost x3 (-1.5)
99452,A. Milik,Forward,retention,lost_ball x9 (-9.0); accurate_pass x14 (+1.4)
128214,A. Mitrovi\u0107,Forward,defensive_disruption,clearance x5 (+7.5)
128214,A. Mitrovi\u0107,Forward,finishing,shot_on_target x4 (+8.0); goal x1 (+8.0); shot_off_target x6 (-1.8)
128214,A. Mitrovi\u0107,Forward,goal_protection,own_box_clearance x5 (+5.0)
128214,A. Mitrovi\u0107,Forward,progression,final_third_entry x3 (+9.0); forward_pass_small x13 (+1.9); failed_progressive x3 (-1.2)
128214,A. Mitrovi\u0107,Forward,recovery,interception x7 (+21.0); loose_ball_won x6 (+6.0); def_duel_won x3 (+6.0)
128214,A. Mitrovi\u0107,Forward,retention,lost_ball x16 (-16.0); att_duel_lost x12 (-6.0); accurate_pass x30 (+3.0)
128214,A. Mitrovi\u0107,Forward,transition,counter_action x1 (+2.0)
62389,A. Mooy,Midfielder,chance_creation,pass_into_box x4 (+6.0); accurate_cross x1 (+1.0)
62389,A. Mooy,Midfielder,defensive_disruption,clearance x6 (+9.0); sliding_tackle_won x2 (+5.0)
62389,A. Mooy,Midfielder,finishing,shot_off_target x1 (-0.3); shot_blocked x1 (+0.0)
62389,A. Mooy,Midfielder,goal_protection,own_box_clearance x3 (+3.0)
62389,A. Mooy,Midfielder,progression,final_third_entry x22 (+66.0); pass_into_box x4 (+16.0); forward_pass_small x82 (+12.3)
62389,A. Mooy,Midfielder,recovery,interception x14 (+42.0); def_duel_won x4 (+8.0); loose_ball_won x6 (+6.0)
62389,A. Mooy,Midfielder,retention,lost_ball x22 (-22.0); accurate_pass x158 (+15.8); att_duel_lost x2 (-1.0)
62389,A. Mooy,Midfielder,transition,counter_action x4 (+8.0)
101606,A. Musa,Forward,chance_creation,key_pass x1 (+4.0); pass_into_box x2 (+3.0); accurate_cross x2 (+2.0)
101606,A. Musa,Forward,defensive_disruption,sliding_tackle_won x1 (+2.5); clearance x1 (+1.5)
101606,A. Musa,Forward,finishing,goal x2 (+16.0); shot_off_target x2 (-0.6)
101606,A. Musa,Forward,progression,pass_into_box x2 (+8.0); final_third_entry x2 (+6.0); forward_carry x3 (+4.5)
101606,A. Musa,Forward,recovery,loose_ball_won x7 (+7.0); interception x2 (+6.0); def_duel_lost x6 (-3.0)
101606,A. Musa,Forward,retention,lost_ball x15 (-15.0); accurate_pass x37 (+3.7); att_duel_lost x6 (-3.0)
101606,A. Musa,Forward,transition,counter_action x5 (+10.0)
32793,A. N'Diaye,Midfielder,chance_creation,pass_into_box x1 (+1.5)
32793,A. N'Diaye,Midfielder,defensive_disruption,clearance x2 (+3.0)
32793,A. N'Diaye,Midfielder,goal_protection,own_box_clearance x1 (+1.0)
32793,A. N'Diaye,Midfielder,progression,final_third_entry x5 (+15.0); forward_pass_small x29 (+4.3); pass_into_box x1 (+4.0)
32793,A. N'Diaye,Midfielder,recovery,interception x5 (+15.0); def_duel_won x3 (+6.0); loose_ball_won x2 (+2.0)
32793,A. N'Diaye,Midfielder,retention,lost_ball x7 (-7.0); accurate_pass x37 (+3.7); att_duel_lost x1 (-0.5)
32793,A. N'Diaye,Midfielder,transition,counter_action x2 (+4.0)
238055,A. Nabbout,Forward,chance_creation,pass_into_box x1 (+1.5)
238055,A. Nabbout,Forward,progression,final_third_entry x3 (+9.0); pass_into_box x1 (+4.0); forward_pass_small x8 (+1.2)
238055,A. Nabbout,Forward,recovery,loose_ball_won x2 (+2.0); def_duel_lost x1 (-0.5)
238055,A. Nabbout,Forward,retention,accurate_pass x13 (+1.3); att_duel_lost x2 (-1.0); lost_ball x1 (-1.0)
238055,A. Nabbout,Forward,transition,counter_action x4 (+8.0)
14748,A. R\u00fcdiger,Defender,defensive_disruption,clearance x3 (+4.5)
14748,A. R\u00fcdiger,Defender,goal_protection,own_box_clearance x1 (+1.0)
14748,A. R\u00fcdiger,Defender,progression,final_third_entry x9 (+27.0); forward_pass_small x61 (+9.2)
14748,A. R\u00fcdiger,Defender,recovery,interception x2 (+6.0); loose_ball_won x5 (+5.0); def_duel_won x1 (+2.0)
14748,A. R\u00fcdiger,Defender,retention,accurate_pass x79 (+7.9); lost_ball x4 (-4.0); att_duel_lost x1 (-0.5)
69616,A. Rebi\u0107,Forward,chance_creation,pass_into_box x10 (+15.0); accurate_cross x4 (+4.0); key_pass x1 (+4.0)
69616,A. Rebi\u0107,Forward,defensive_disruption,clearance x4 (+6.0)
69616,A. Rebi\u0107,Forward,finishing,goal x1 (+8.0); shot_on_target x4 (+8.0); shot_off_target x3 (-0.9)
69616,A. Rebi\u0107,Forward,goal_protection,own_box_clearance x2 (+2.0)
69616,A. Rebi\u0107,Forward,progression,pass_into_box x10 (+40.0); final_third_entry x6 (+18.0); line_breaking x5 (+15.0)
69616,A. Rebi\u0107,Forward,recovery,interception x19 (+57.0); def_duel_won x5 (+10.0); loose_ball_won x9 (+9.0)
69616,A. Rebi\u0107,Forward,retention,lost_ball x54 (-54.0); att_duel_lost x26 (-13.0); accurate_pass x76 (+7.6)
69616,A. Rebi\u0107,Forward,transition,counter_action x2 (+4.0)
70144,A. Rodr\u00edguez,Defender,defensive_disruption,clearance x1 (+1.5)
70144,A. Rodr\u00edguez,Defender,finishing,shot_off_target x1 (-0.3)
70144,A. Rodr\u00edguez,Defender,goal_protection,own_box_clearance x1 (+1.0)
70144,A. Rodr\u00edguez,Defender,progression,final_third_entry x4 (+12.0); forward_pass_small x44 (+6.6); failed_progressive x2 (-0.8)
70144,A. Rodr\u00edguez,Defender,recovery,interception x7 (+21.0); def_duel_won x2 (+4.0); loose_ball_won x2 (+2.0)
70144,A. Rodr\u00edguez,Defender,retention,accurate_pass x52 (+5.2); lost_ball x2 (-2.0); att_duel_lost x1 (-0.5)
15214,A. Rukavina,Defender,chance_creation,pass_into_box x3 (+4.5); key_pass x1 (+4.0); accurate_cross x2 (+2.0)
15214,A. Rukavina,Defender,defensive_disruption,clearance x3 (+4.5)
15214,A. Rukavina,Defender,goal_protection,own_box_clearance x1 (+1.0)
15214,A. Rukavina,Defender,progression,final_third_entry x6 (+18.0); pass_into_box x3 (+12.0); forward_pass_small x32 (+4.8)
15214,A. Rukavina,Defender,recovery,interception x5 (+15.0); def_duel_won x2 (+4.0); def_duel_lost x4 (-2.0)
15214,A. Rukavina,Defender,retention,lost_ball x4 (-4.0); accurate_pass x39 (+3.9); att_duel_lost x1 (-0.5)
15214,A. Rukavina,Defender,transition,counter_action x1 (+2.0)
101699,A. Samedov,Midfielder,chance_creation,pass_into_box x9 (+13.5); accurate_cross x5 (+5.0)
101699,A. Samedov,Midfielder,defensive_disruption,clearance x2 (+3.0)
101699,A. Samedov,Midfielder,finishing,shot_off_target x1 (-0.3); shot_blocked x1 (+0.0)
101699,A. Samedov,Midfielder,goal_protection,own_box_clearance x1 (+1.0)
101699,A. Samedov,Midfielder,progression,pass_into_box x9 (+36.0); final_third_entry x6 (+18.0); forward_carry x6 (+9.0)
101699,A. Samedov,Midfielder,recovery,interception x11 (+33.0); def_duel_lost x14 (-7.0); def_duel_won x3 (+6.0)
101699,A. Samedov,Midfielder,retention,lost_ball x18 (-18.0); accurate_pass x110 (+11.0); att_duel_lost x7 (-3.5)
101699,A. Samedov,Midfielder,transition,counter_action x3 (+6.0)
115353,A. Santamar\u00eda,Defender,defensive_disruption,clearance x2 (+3.0); sliding_tackle_won x1 (+2.5)
115353,A. Santamar\u00eda,Defender,goal_protection,own_box_clearance x1 (+1.0)
115353,A. Santamar\u00eda,Defender,progression,final_third_entry x5 (+15.0); forward_pass_small x64 (+9.6); failed_progressive x1 (-0.4)
115353,A. Santamar\u00eda,Defender,recovery,interception x6 (+18.0); def_duel_won x5 (+10.0); loose_ball_won x4 (+4.0)
115353,A. Santamar\u00eda,Defender,retention,accurate_pass x74 (+7.4); lost_ball x3 (-3.0)
265368,A. Shehu,Defender,defensive_disruption,clearance x3 (+4.5)
265368,A. Shehu,Defender,goal_protection,own_box_clearance x3 (+3.0)
265368,A. Shehu,Defender,progression,final_third_entry x2 (+6.0); forward_pass_small x20 (+3.0); failed_progressive x1 (-0.4)
265368,A. Shehu,Defender,recovery,interception x11 (+33.0); def_duel_won x1 (+2.0); def_duel_lost x2 (-1.0)
265368,A. Shehu,Defender,retention,accurate_pass x33 (+3.3); lost_ball x2 (-2.0); att_duel_lost x1 (-0.5)
51127,A. Sk\u00falason,Defender,chance_creation,key_pass x1 (+4.0); pass_into_box x1 (+1.5)
51127,A. Sk\u00falason,Defender,progression,pass_into_box x1 (+4.0); forward_pass_small x3 (+0.4)
51127,A. Sk\u00falason,Defender,recovery,interception x2 (+6.0); loose_ball_won x2 (+2.0); def_duel_lost x3 (-1.5)
51127,A. Sk\u00falason,Defender,retention,accurate_pass x8 (+0.8); att_duel_lost x1 (-0.5)
91502,A. Uribe,Midfielder,chance_creation,pass_into_box x1 (+1.5)
91502,A. Uribe,Midfielder,defensive_disruption,sliding_tackle_won x2 (+5.0); clearance x1 (+1.5)
91502,A. Uribe,Midfielder,finishing,shot_on_target x2 (+4.0)
91502,A. Uribe,Midfielder,goal_protection,own_box_clearance x1 (+1.0)
91502,A. Uribe,Midfielder,progression,final_third_entry x10 (+30.0); forward_pass_small x50 (+7.5); pass_into_box x1 (+4.0)
91502,A. Uribe,Midfielder,recovery,interception x9 (+27.0); def_duel_won x4 (+8.0); def_duel_lost x10 (-5.0)
91502,A. Uribe,Midfielder,retention,lost_ball x10 (-10.0); accurate_pass x77 (+7.7); att_duel_lost x7 (-3.5)
70123,A. Witsel,Midfielder,chance_creation,key_pass x1 (+4.0); pass_into_box x1 (+1.5); accurate_cross x1 (+1.0)
70123,A. Witsel,Midfielder,defensive_disruption,clearance x4 (+6.0)
70123,A. Witsel,Midfielder,finishing,shot_on_target x1 (+2.0); shot_off_target x2 (-0.6); shot_blocked x3 (+0.0)
70123,A. Witsel,Midfielder,goal_protection,own_box_clearance x4 (+4.0)
70123,A. Witsel,Midfielder,progression,final_third_entry x41 (+123.0); forward_pass_small x145 (+21.7); pass_into_box x1 (+4.0)
70123,A. Witsel,Midfielder,recovery,interception x23 (+69.0); def_duel_won x6 (+12.0); def_duel_lost x22 (-11.0)
70123,A. Witsel,Midfielder,retention,accurate_pass x298 (+29.8); lost_ball x15 (-15.0); att_duel_lost x4 (-2.0)
70123,A. Witsel,Midfielder,transition,counter_action x6 (+12.0)
7939,A. Young,Defender,chance_creation,pass_into_box x6 (+9.0); key_pass x1 (+4.0); accurate_cross x2 (+2.0)
7939,A. Young,Defender,defensive_disruption,clearance x2 (+3.0)
7939,A. Young,Defender,goal_protection,own_box_clearance x2 (+2.0)
7939,A. Young,Defender,progression,final_third_entry x15 (+45.0); pass_into_box x6 (+24.0); forward_pass_small x51 (+7.7)
7939,A. Young,Defender,recovery,interception x20 (+60.0); def_duel_won x5 (+10.0); loose_ball_won x7 (+7.0)
7939,A. Young,Defender,retention,lost_ball x31 (-31.0); accurate_pass x148 (+14.8); att_duel_lost x3 (-1.5)
7939,A. Young,Defender,transition,counter_action x2 (+4.0)
140085,A. \u017divkovi\u0107,Midfielder,chance_creation,pass_into_box x3 (+4.5); accurate_cross x1 (+1.0)
140085,A. \u017divkovi\u0107,Midfielder,finishing,shot_off_target x1 (-0.3)
140085,A. \u017divkovi\u0107,Midfielder,progression,pass_into_box x3 (+12.0); final_third_entry x2 (+6.0); forward_pass_small x7 (+1.1)
140085,A. \u017divkovi\u0107,Midfielder,recovery,interception x1 (+3.0)
140085,A. \u017divkovi\u0107,Midfielder,retention,lost_ball x3 (-3.0); accurate_pass x10 (+1.0)
120167,Abdallah Said,Midfielder,chance_creation,pass_into_box x6 (+9.0); assist x1 (+8.0)
120167,Abdallah Said,Midfielder,defensive_disruption,clearance x1 (+1.5)
120167,Abdallah Said,Midfielder,finishing,shot_off_target x1 (-0.3)
120167,Abdallah Said,Midfielder,goal_protection,own_box_clearance x1 (+1.0)
120167,Abdallah Said,Midfielder,progression,final_third_entry x14 (+42.0); pass_into_box x6 (+24.0); line_breaking x3 (+9.0)
120167,Abdallah Said,Midfielder,recovery,interception x11 (+33.0); def_duel_won x6 (+12.0); def_duel_lost x8 (-4.0)
120167,Abdallah Said,Midfielder,retention,lost_ball x27 (-27.0); accurate_pass x108 (+10.8); att_duel_lost x4 (-2.0)
120167,Abdallah Said,Midfielder,transition,counter_action x7 (+14.0)
122561,Abdullah Al Mayouf,Goalkeeper,goal_protection,reflex_save x5 (+25.0); save x2 (+8.0)
122561,Abdullah Al Mayouf,Goalkeeper,progression,final_third_entry x2 (+6.0); forward_pass_small x22 (+3.3); failed_progressive x1 (-0.4)
122561,Abdullah Al Mayouf,Goalkeeper,recovery,interception x3 (+9.0); loose_ball_won x1 (+1.0)
122561,Abdullah Al Mayouf,Goalkeeper,retention,accurate_pass x22 (+2.2); lost_ball x2 (-2.0)
122561,Abdullah Al Mayouf,Goalkeeper,transition,keeper_launch x15 (+22.5)
139393,Abdullah Otayf,Midfielder,chance_creation,assist x1 (+8.0); pass_into_box x2 (+3.0)
139393,Abdullah Otayf,Midfielder,defensive_disruption,clearance x3 (+4.5)
139393,Abdullah Otayf,Midfielder,finishing,shot_blocked x2 (+0.0)
139393,Abdullah Otayf,Midfielder,goal_protection,own_box_clearance x2 (+2.0)
139393,Abdullah Otayf,Midfielder,progression,final_third_entry x43 (+129.0); forward_pass_small x157 (+23.5); pass_into_box x2 (+8.0)
139393,Abdullah Otayf,Midfielder,recovery,interception x16 (+48.0); def_duel_won x5 (+10.0); def_duel_lost x14 (-7.0)
139393,Abdullah Otayf,Midfielder,retention,accurate_pass x235 (+23.5); lost_ball x22 (-22.0); att_duel_lost x2 (-1.0)
139393,Abdullah Otayf,Midfielder,transition,counter_action x4 (+8.0)
70403,Adrien Silva,Midfielder,chance_creation,pass_into_box x2 (+3.0); accurate_cross x1 (+1.0)
70403,Adrien Silva,Midfielder,defensive_disruption,sliding_tackle_won x1 (+2.5)
70403,Adrien Silva,Midfielder,finishing,shot_off_target x1 (-0.3); shot_blocked x1 (+0.0)
70403,Adrien Silva,Midfielder,progression,final_third_entry x27 (+81.0); forward_pass_small x98 (+14.7); pass_into_box x2 (+8.0)
70403,Adrien Silva,Midfielder,recovery,interception x12 (+36.0); def_duel_won x6 (+12.0); loose_ball_won x4 (+4.0)
70403,Adrien Silva,Midfielder,retention,accurate_pass x152 (+15.2); lost_ball x10 (-10.0); att_duel_lost x2 (-1.0)
70403,Adrien Silva,Midfielder,transition,counter_action x3 (+6.0)
120156,Ahmed Fathy,Defender,chance_creation,pass_into_box x7 (+10.5); key_pass x2 (+8.0); accurate_cross x6 (+6.0)
120156,Ahmed Fathy,Defender,defensive_disruption,clearance x8 (+12.0); sliding_tackle_won x1 (+2.5)
120156,Ahmed Fathy,Defender,finishing,shot_on_target x1 (+2.0)
120156,Ahmed Fathy,Defender,goal_protection,own_box_clearance x5 (+5.0)
120156,Ahmed Fathy,Defender,progression,final_third_entry x16 (+48.0); pass_into_box x7 (+28.0); forward_pass_small x79 (+11.9)
120156,Ahmed Fathy,Defender,recovery,interception x18 (+54.0); def_duel_won x10 (+20.0); def_duel_lost x25 (-12.5)
120156,Ahmed Fathy,Defender,retention,lost_ball x21 (-21.0); accurate_pass x111 (+11.1); dangerous_lost x1 (-3.0)
120156,Ahmed Fathy,Defender,transition,counter_action x3 (+6.0)
119951,Ahmed Hegazy,Defender,defensive_disruption,clearance x16 (+24.0)
119951,Ahmed Hegazy,Defender,goal_protection,own_box_clearance x13 (+13.0)
119951,Ahmed Hegazy,Defender,progression,final_third_entry x12 (+36.0); forward_pass_small x81 (+12.2); failed_progressive x5 (-2.0)
119951,Ahmed Hegazy,Defender,recovery,interception x26 (+78.0); def_duel_won x6 (+12.0); def_duel_lost x10 (-5.0)
119951,Ahmed Hegazy,Defender,retention,lost_ball x25 (-25.0); accurate_pass x99 (+9.9)
