coach,team,dimension,top_drivers
Akira Nishino,Japan,set_pieces,corner_leading_to_shot x4 (+8.0); corner_taken x19 (+5.7); set_piece_goal x1 (+5.0)
Shin Tae-yong,Korea Republic,buildup_quality,final_third_entry x84 (+168.0); turnover_own_third x59 (-118.0); pass_into_box x32 (+96.0)
Shin Tae-yong,Korea Republic,chance_creation,shot_central_box x8 (+24.0); key_pass x6 (+12.0); shot_outside_box x18 (+9.0)
Shin Tae-yong,Korea Republic,defensive_organisation,interception_own_half x130 (+195.0); shot_conceded_from_box x30 (-105.0); clearance_from_box x52 (+52.0)
Shin Tae-yong,Korea Republic,pressing_structure,duel_won_opp_third x60 (+90.0); duel_won_opp_half x35 (+35.0); interception_opp_third x10 (+30.0)
Shin Tae-yong,Korea Republic,set_pieces,corner_leading_to_shot x4 (+8.0); set_piece_goal x1 (+5.0); corner_taken x15 (+4.5)
Juan Carlos Osorio,Mexico,buildup_quality,final_third_entry x151 (+302.0); pass_into_box x46 (+138.0); turnover_own_third x54 (-108.0)
Juan Carlos Osorio,Mexico,chance_creation,shot_central_box x14 (+42.0); shot_outside_box x29 (+14.5); key_pass x7 (+14.0)
Juan Carlos Osorio,Mexico,defensive_organisation,interception_own_half x151 (+226.5); shot_conceded_from_box x40 (-140.0); shot_conceded x29 (-58.0)
Juan Carlos Osorio,Mexico,pressing_structure,duel_won_opp_third x93 (+139.5); duel_won_opp_half x60 (+60.0); interception_opp_third x14 (+42.0)
Juan Carlos Osorio,Mexico,set_pieces,free_kick_cross_in_box x6 (+6.0); corner_leading_to_shot x3 (+6.0); corner_taken x20 (+6.0)
Hervé Renard,Morocco,buildup_quality,final_third_entry x91 (+182.0); pass_into_box x30 (+90.0); turnover_own_third x38 (-76.0)
Hervé Renard,Morocco,chance_creation,shot_central_box x17 (+51.0); cross_into_box x14 (+14.0); key_pass x7 (+14.0)
Hervé Renard,Morocco,defensive_organisation,interception_own_half x80 (+120.0); shot_conceded_from_box x19 (-66.5); clearance_from_box x41 (+41.0)
Hervé Renard,Morocco,pressing_structure,duel_won_opp_third x73 (+109.5); duel_won_opp_half x59 (+59.0); interception_opp_half x24 (+48.0)
Hervé Renard,Morocco,set_pieces,free_kick_cross_in_box x8 (+8.0); corner_leading_to_shot x3 (+6.0); set_piece_goal x1 (+5.0)
Gernot Rohr,Nigeria,buildup_quality,final_third_entry x118 (+236.0); turnover_own_third x72 (-144.0); pass_into_box x24 (+72.0)
Gernot Rohr,Nigeria,chance_creation,shot_central_box x13 (+39.0); cross_into_box x10 (+10.0); key_pass x5 (+10.0)
Gernot Rohr,Nigeria,defensive_organisation,interception_own_half x116 (+174.0); shot_conceded_from_box x16 (-56.0); clearance_from_box x41 (+41.0)
Gernot Rohr,Nigeria,pressing_structure,duel_won_opp_third x76 (+114.0); duel_won_opp_half x53 (+53.0); interception_opp_third x13 (+39.0)
Gernot Rohr,Nigeria,set_pieces,free_kick_cross_in_box x8 (+8.0); corner_taken x14 (+4.2); corner_leading_to_shot x1 (+2.0)
Hernán Darío Gómez,Panama,buildup_quality,final_third_entry x105 (+210.0); turnover_own_third x50 (-100.0); pass_into_box x8 (+24.0)
Hernán Darío Gómez,Panama,chance_creation,shot_central_box x11 (+33.0); key_pass x6 (+12.0); shot_outside_box x9 (+4.5)
Hernán Darío Gómez,Panama,defensive_organisation,interception_own_half x90 (+135.0); shot_conceded_from_box x28 (-98.0); clearance_from_box x28 (+28.0)
Hernán Darío Gómez,Panama,pressing_structure,duel_won_opp_third x36 (+54.0); duel_won_opp_half x40 (+40.0); interception_opp_third x5 (+15.0)
Hernán Darío Gómez,Panama,set_pieces,corner_leading_to_shot x3 (+6.0); set_piece_goal x1 (+5.0); free_kick_shot x2 (+3.0)
Ricardo Gareca,Peru,buildup_quality,final_third_entry x104 (+208.0); turnover_own_third x64 (-128.0); pass_into_box x36 (+108.0)
Ricardo Gareca,Peru,chance_creation,shot_central_box x10 (+30.0); key_pass x6 (+12.0); cross_into_box x8 (+8.0)
Ricardo Gareca,Peru,defensive_organisation,interception_own_half x107 (+160.5); shot_conceded_from_box x25 (-87.5); clearance_from_box x35 (+35.0)
Ricardo Gareca,Peru,pressing_structure,duel_won_opp_third x67 (+100.5); duel_won_opp_half x39 (+39.0); interception_opp_third x7 (+21.0)
Ricardo Gareca,Peru,set_pieces,free_kick_cross_in_box x5 (+5.0); corner_leading_to_shot x2 (+4.0); corner_taken x9 (+2.7)
Adam Nawałka,Poland,buildup_quality,final_third_entry x136 (+272.0); turnover_own_third x48 (-96.0); pass_into_box x30 (+90.0)
Adam Nawałka,Poland,chance_creation,shot_central_box x14 (+42.0); key_pass x8 (+16.0); cross_into_box x9 (+9.0)
Adam Nawałka,Poland,defensive_organisation,interception_own_half x90 (+135.0); shot_conceded_from_box x15 (-52.5); clearance_from_box x31 (+31.0)
Adam Nawałka,Poland,pressing_structure,duel_won_opp_third x59 (+88.5); duel_won_opp_half x42 (+42.0); interception_opp_third x12 (+36.0)
